codigo,latitude,longitude,updated_at
CA-OLS-0116-A7,-28.358877,-49.287291,2026-08-29T20:00:00Z
CA-OLS-0116-A3,-28.358514,-49.284419,2026-08-29T20:00:00Z
CA-OLS-0116-A6,-28.358177,-49.286569,2026-08-29T20:00:00Z
CA-OLS-0010-A5,-28.310024,-49.36453,2026-08-29T20:00:00Z
CA-OLS-0010-A10,-28.291314,-49.367167,2026-08-29T20:00:00Z
CA-OLS-0010-A5,-28.310024,-49.36453,2026-08-29T20:00:00Z
CA-OLS-0010-A7,-28.296809,-49.363812,2026-08-29T20:00:00Z
CA-OLS-0010-A3,-28.323116,-49.360007,2026-08-29T20:00:00Z
CA-OLS-0010-A9,-28.306713,-49.360327,2026-08-29T20:00:00Z
CA-OLS-0011-A8,-28.25239417,-49.39070785,2026-08-29T20:00:00Z
CA-OLS-0009-B1,-28.329362,-49.317699,2026-08-29T20:00:00Z
CA-OLS-0009-B4,-28.315206,-49.32286,2026-08-29T20:00:00Z
CA-OLS-0025-A7-A5,-28.22063458,-49.37605821,2026-08-29T20:00:00Z
CA-OLS-0025-A7-A5,-28.22063458,-49.37605821,2026-08-29T20:00:00Z
CA-OLS-0025-A2-A8,-28.232166,-49.378998,2026-08-29T20:00:00Z
CA-OLS-0025-A2-A8,-28.232166,-49.378998,2026-08-29T20:00:00Z
CA-PDRO-0107-A1,-28.819981,-49.223237,2026-08-29T20:00:00Z
CA-PDRO-0107-A1,-28.819981,-49.223237,2026-08-29T20:00:00Z
CA-PDRO-0011-A4,-28.850415,-49.304299,2026-08-29T20:00:00Z
CA-PDRO-0011-A10,-28.870369,-49.30629,2026-08-29T20:00:00Z
CA-PDRO-0011-A5,-28.852132,-49.305708,2026-08-29T20:00:00Z
CA-PDRO-0011-A7,-28.854893,-49.307947,2026-08-29T20:00:00Z
CA-PDRO-0072-A8,-28.877673,-49.290648,2026-08-29T20:00:00Z
CA-PDRO-0063-A3,-28.846515,-49.255922,2026-08-29T20:00:00Z
CA-PDRO-0063-A2,-28.846108,-49.256345,2026-08-29T20:00:00Z
CA-PDRO-0067-A7,-28.853462,-49.26305,2026-08-29T20:00:00Z
CA-YCA-0166-A1,-28.76119,-49.258301,2026-08-29T20:00:00Z
CA-YCA-0166-A3,-28.758049,-49.248344,2026-08-29T20:00:00Z
CA-PDRO-0057-A4,-28.84101,-49.246176,2026-08-29T20:00:00Z
CA-PDRO-0080-A8,-28.809084,-49.224117,2026-08-29T20:00:00Z
CA-YCA-0158-A4,-28.78674,-49.249117,2026-08-29T20:00:00Z
